,word,count,word_len,new_word
4253,underpinning,1,12,underpinning
4273,strengthened,1,12,strengthened
4294,categorically,1,13,categorically
4296,reinitiation,1,12,re initiation
4305,valuecreating,1,13,value creating
4309,illumination,1,12,illumination
4325,wellconceived,1,13,well conceived
4326,claycourters,1,12,clay court ers
4341,djembadjemba,1,12,djemba djemba
4426,vicedirector,1,12,vice director
4455,pronouncement,2,13,pronouncement
4490,chinawatcher,1,12,china watcher
4491,introspective,1,13,introspective
4554,wellinsulated,1,13,well insulated
4596,uncooperative,2,13,uncooperative
4616,intermission,1,12,intermission
4631,radioactivity,1,13,radioactivity
4654,moneychangers,1,13,money changers
4658,entertaining,2,12,entertaining
4662,floridabased,2,12,florida based
4668,chancellorno,1,12,chancellor no
4689,significantlyimproved,2,21,significantly improved
4723,macroeconomic,2,13,macroeconomic
4784,grammywinning,1,13,grammy winning
4796,whiteshirted,1,12,white shirted
4818,demonstrated,1,12,demonstrated
4840,mediumtolong,1,12,medium to long
4845,complimentary,1,13,complimentary
4859,reimbursement,1,13,reimbursement
4894,christianity,1,12,christianity
4940,counterattack,2,13,counterattack
4975,minihydraulic,1,13,mini hydraulic
5033,multifunction,1,13,multifunction
5098,consequently,1,12,consequently
5108,recordbusting,1,13,record busting
5195,selfdestruct,1,12,self destruct
5203,selfexpression,2,14,self expression
5217,energysapping,1,13,energy sapping
5221,characterize,1,12,characterize
5244,mismanagement,1,13,mismanagement
5294,ideologically,1,13,ideologically
5323,authentication,2,14,authentication
5331,underpressure,1,13,under pressure
5388,mycokemusiccom,2,14,my coke music com
5423,unaccountably,1,13,unaccountably
5446,rainaffected,1,12,rain affected
5450,intentionally,2,13,intentionally
5470,babyshamblers,1,13,baby shamble rs
5488,depreciation,2,12,depreciation
5499,proeuropeans,1,12,pro europeans
5612,careerthreatening,2,17,career threatening
5625,ubiquitously,2,12,ubiquitously
5659,fouryearolds,1,12,four year olds
5674,dictatorship,1,12,dictatorship
5706,biotechnology,1,13,biotechnology
5735,persistently,1,12,persistently
5767,liverpudlian,1,12,liver pu d lian
5793,islamaphobia,1,12,islam a phobia
5800,downconverting,2,14,down converting
5803,denialofservice,2,15,denial of service
5834,looseforward,1,12,loose forward
5887,accompaniment,1,13,accompaniment
5896,expropriation,1,13,expropriation
5902,rechargeable,1,12,rechargeable
5919,salsamerengue,1,13,salsa merengue
6013,widereaching,1,12,wide reaching
6021,amplification,1,13,amplification
6023,nationalisation,2,15,nationalisation
6028,antiphishing,1,12,anti phishing
6056,conveniently,1,12,conveniently
6064,multispeaker,1,12,multi speaker
6180,conspicuously,1,13,conspicuously
6193,johannesburg,1,12,johannesburg
6231,foreignbased,1,12,foreign based
6244,assassinated,1,12,assassinated
6248,modernisation,2,13,modernisation
6251,doublefaulted,1,13,double faulted
6348,jamesinspired,1,13,james inspired
6414,scalprecorded,1,13,scalp recorded
6417,searchengine,1,12,search engine
6426,schoolteacher,1,13,schoolteacher
6435,invincibility,1,13,invincibility
6458,secondfastest,1,13,second fastest
6473,lowerranking,1,12,lower ranking
6543,superathletic,1,13,super athletic
6570,inconclusive,1,12,inconclusive
6587,diarywriting,2,12,diary writing
6597,ukcontrolled,1,12,uk controlled
6639,sarcastically,2,13,sarcastically
6641,singlebedroom,1,13,single bedroom
6692,embarrassing,1,12,embarrassing
6698,characterise,2,12,characterise
6713,troubleshoot,1,12,troubleshoot
6728,killamangiro,1,12,kill a man giro
6740,visakhapatnam,1,13,visa khapa tnam
6777,ramification,2,12,ramification
6780,storytelling,1,12,storytelling
6799,baskinrobbins,1,13,baskin robbins
6850,welleducated,1,12,well educated
6868,contraceptive,1,13,contraceptive
6876,fourthbiggest,2,13,fourth biggest
6903,prizefighter,2,12,prizefighter
6910,acceleration,1,12,acceleration
6965,paidforpassalong,2,16,paid for pass along
6968,dangerousthe,1,12,dangerous the
7004,quantitative,1,12,quantitative
7037,pornographer,1,12,pornographer
7053,higherpriced,1,12,higher priced
7068,substitution,1,12,substitution
7077,novemberearly,1,13,november early
7099,speculatively,1,13,speculative ly
7114,whittingdale,1,12,w hitting dale
7134,nottinghamshire,2,15,nottinghamshire
7185,neighbouring,1,12,neighbouring
7205,homosexuality,2,13,homosexuality
7250,michelangelo,1,12,michelangelo
7257,perpetuating,1,12,perpetuating
7277,verbalicious,1,12,verb a licious
7290,argumentative,1,13,argumentative
7308,emphatically,1,12,emphatically
7334,irreversible,1,12,irreversible
7337,capabilities,1,12,capabilities
7341,developmental,1,13,developmental
7379,thyssenkrupp,2,12,thyssenkrupp
7406,hollinghurst,2,12,holl ing hurst
7420,indiscretion,1,12,indiscretion
7449,quadriplegic,1,12,quadriplegic
7454,mockauthentic,1,13,mock authentic
7475,rebandingwill,1,13,re banding will
7491,staffordsmith,1,13,stafford smith
7511,degenerative,1,12,degenerative
7518,continuously,2,12,continuously
7584,fastspreading,1,13,fast spreading
7602,inconsistency,1,13,inconsistency
7612,hindilanguage,1,13,hindi language
7665,baghdadbased,1,12,baghdad based
7684,rediscovered,1,12,rediscovered
7695,beneficiaries,1,13,beneficiaries
7761,nanotechnology,2,14,nanotechnology
7774,antiislamism,1,12,anti islamism
7790,legallydownloaded,2,17,legally downloaded
7793,uruguayanborn,1,13,uruguayan born
7797,convincingly,1,12,convincingly
7809,redevelopment,1,13,redevelopment
7811,usefulpopular,1,13,useful popular
7815,individuality,1,13,individuality
7824,conceptually,1,12,conceptually
7826,internetbased,2,13,internet based
7835,rubberstamps,1,12,rubber stamps
7879,noncelebrity,1,12,non celebrity
7906,shakespearean,1,13,shakespearean
7910,reunification,1,13,reunification
7930,redundancies,1,12,redundancies
7985,instantaccess,1,13,instant access
8025,lincolnshire,1,12,lincolnshire
8027,thoughtfully,1,12,thoughtfully
8052,unnecessarily,2,13,unnecessarily
8059,longarranged,1,12,long arranged
8064,geographical,2,12,geographical
8185,reconditioned,1,13,reconditioned
8207,albanianborn,1,12,albanian born
8222,unfavourably,1,12,un favourably
8226,demotivating,1,12,de motivating
8278,meanstesting,2,12,means testing
8293,breathtaking,1,12,breathtaking
8340,jacksonville,2,12,jacksonville
8370,unconvincing,1,12,unconvincing
8371,computational,1,13,computational
8408,fainthearted,1,12,fainthearted
8429,unremarkable,1,12,unremarkable
8465,lowerskilled,1,12,lower skilled
8492,weidensteiner,1,13,weiden steiner
8503,underexposure,2,13,under exposure
8537,collisiondetection,2,18,collision detection
8607,charttoppers,2,12,chart toppers
8612,satisfactory,2,12,satisfactory
8624,berthinussen,1,12,berth in us sen
8627,acknowledges,1,12,acknowledges
8646,confiscatory,1,12,conf isca tory
8652,nonrepayable,1,12,non repayable
8655,wonderstrike,1,12,wonder strike
8665,nonspecialist,1,13,non specialist
8691,bookingearold,1,13,book in gear old
8692,unilaterally,1,12,unilaterally
8702,minuteeconds,1,12,minute eco nds
8726,columbiasony,1,12,columbia sony
8745,crossselling,1,12,cross selling
8754,reevaluation,1,12,reevaluation
8768,centreforward,1,13,centre forward
8771,blomefontein,1,12,blom e font e in
8785,nonsolicited,1,12,non solicited
8802,investigative,1,13,investigative
8861,fourthminute,1,12,fourth minute
8867,visualisation,1,13,visualisation
8869,gangsterstyle,1,13,gangster style
8900,contributing,1,12,contributing
8904,threecornered,1,13,three cornered
8930,firstquarter,1,12,first quarter
8944,petrochemical,1,13,petrochemical
8951,nanoparticles,1,13,nanoparticles
8957,victimisation,1,13,victim is ation
8972,enlargedtate,2,12,enlarged tate
8985,counterterrorism,2,16,counter terrorism
9047,crimefighting,1,13,crime fighting
9093,musicologist,1,12,musicologist
9107,incapacitate,1,12,incapacitate
9186,lookingglass,1,12,looking glass
9354,codecracking,2,12,code cracking
9367,thanksgiving,2,12,thanksgiving
9368,dramatisation,1,13,drama tis ation
9393,plasterboard,1,12,plasterboard
9397,timehonoured,2,12,time honoured
9413,geoscientists,1,13,geo scientists
9436,prodemocracy,1,12,pro democracy
9484,antagonistic,1,12,antagonistic
9526,eccentricity,1,12,eccentricity
9543,nonessential,1,12,nonessential
9551,undetectable,2,12,undetectable
9597,verification,1,12,verification
9618,implantation,1,12,implantation
9681,fuelefficient,1,13,fuel efficient
9695,londonfrankfurt,2,15,london frankfurt
9710,effortlessly,1,12,effortlessly
9714,contradiction,1,13,contradiction
9775,undergraduate,1,13,undergraduate
9800,decisiveness,1,12,decisiveness
9807,normalengined,1,13,normal engined
9830,demonstrates,1,12,demonstrates
9833,casinorelated,1,13,casino related
9839,counterclaim,1,12,counterclaim
9840,wolstenholme,1,12,wolstenholme
9855,inefficiency,1,12,inefficiency
9882,statisticians,1,13,statisticians
9891,centrehalves,1,12,centre halves
9928,incompetence,1,12,incompetence
9978,decapitation,1,12,decapitation
9986,antiglobalisation,2,17,anti globalisation
10019,selffinanced,1,12,self financed
10020,printordering,1,13,print ordering
10050,opportunistic,2,13,opportunistic
10051,dumfriesshire,1,13,dumfriesshire
10060,teleservices,1,12,tele services
10077,homeshopping,1,12,home shopping
10080,britishbacked,1,13,british backed
10102,gloucestershire,2,15,gloucestershire
10187,preventative,2,12,preventative
10192,napsterization,2,14,napster iz ation
10196,antiaircraft,1,12,antiaircraft
10248,gadgetlovers,1,12,gadget lovers
10385,unwillingness,2,13,unwillingness
10421,nonforprofit,1,12,non for profit
10451,nonsmartphone,1,13,non smartphone
10465,britishbased,1,12,british based
10497,publicsector,1,12,public sector
10502,unreformable,2,12,un reform able
10515,threemonthly,1,12,three monthly
10547,unexpectedly,2,12,unexpectedly
10599,smoothtalking,1,13,smooth talking
10612,underdevelop,1,12,under develop
10627,decentralised,1,13,de centralised
10641,irreplaceable,1,13,irreplaceable
10656,welshspeaking,1,13,welsh speaking
10664,efficiencies,1,12,efficiencies
10676,behindclosed,1,12,behind closed
10708,largerthanexpected,2,18,larger than expected
10713,underproduced,1,13,under produced
10722,unassailable,2,12,unassailable
10724,consultative,1,12,consultative
10735,payperaction,2,12,pay per action
10754,insufficient,1,12,insufficient
10759,journalistic,2,12,journalistic
10766,overambitious,1,13,overambitious
10792,conclusively,1,12,conclusively
10834,miscarriages,1,12,miscarriages
10840,codebreaking,1,12,codebreaking
10855,mortgagestyle,1,13,mortgage style
10866,latenovember,1,12,late november
10891,ultrawideband,1,13,ultra wide band
10897,fuerteventura,1,13,fuerteventura
10926,internacional,1,13,internacional
10940,chevrontexaco,2,13,chevron texaco
10973,euroscepticism,2,14,euroscepticism
10994,expletiveladen,2,14,expletive laden
11011,ratification,2,12,ratification
11015,swaminarayan,1,12,swami narayan
11063,coincidentally,2,14,coincidentally
11064,hereditaries,2,12,her edit aries
11075,wellpublicised,2,14,well publicised
11087,newsgamingcom,1,13,news gaming com
11092,modification,1,12,modification
11095,jointventure,1,12,joint venture
11098,glasgowbased,1,12,glasgow based
11100,reintroduced,1,12,reintroduced
11123,congressionallymandated,2,23,congressionally mandated
11168,greensleeves,2,12,greensleeves
11169,markovadolin,1,12,markova dol in
11187,colonisation,1,12,colonisation
11212,undemocratic,2,12,undemocratic
11284,soontoretire,1,12,soon to retire
11301,selfcontained,2,13,self contained
11361,lostprophets,1,12,lostprophets
11393,uninterrupted,1,13,uninterrupted
11398,impoverished,1,12,impoverished
11405,agrochemical,1,12,a gro chemical
11445,allconsuming,1,12,all consuming
11512,timespecific,1,12,time specific
11515,aesthetically,1,13,aesthetically
11527,minimanifesto,1,13,mini manifesto
11551,nottoodistant,1,13,not too distant
11616,democratgreen,1,13,democrat green
11626,sarbanesoxley,2,13,sar banes oxley
11638,retrospective,2,13,retrospective
11640,reinstatement,2,13,reinstatement
11645,conciliatory,1,12,conciliatory
11682,messageboard,1,12,message board
11714,parliamentarian,2,15,parliamentarian
11715,disturbingly,1,12,disturbingly
11726,nonemergency,1,12,non emergency
11735,antisectarian,1,13,anti sectarian
11741,phonetapping,1,12,phone tapping
11753,proportional,1,12,proportional
11757,sixthhighest,1,12,sixth highest
11778,beerflavoured,2,13,beer flavoured
11813,approximation,1,13,approximation
11833,fileswapping,2,12,file swapping
11841,newportbased,2,12,newport based
11845,nextgeneration,2,14,next generation
11848,selfcritical,1,12,self critical
11850,insensitivity,1,13,insensitivity
11854,holidaymaker,1,12,holiday maker
11901,ticketholder,1,12,ticket holder
11909,powersharing,1,12,power sharing
11918,welldocumented,2,14,well documented
12068,nearidentical,1,13,near identical
12087,preelectronic,2,13,pre electronic
12091,harmonisation,1,13,harmon is ation
12092,staffordshire,1,13,staffordshire
12109,evidencebased,1,13,evidence based
12123,lifeextending,1,13,life extending
12125,christchurch,1,12,christchurch
12153,highlighting,1,12,highlighting
12184,higherquality,1,13,higher quality
12188,consciousness,2,13,consciousness
12191,dysfunctional,2,13,dysfunctional
12223,areconsulting,1,13,are consulting
12264,misrepresent,1,12,misrepresent
12296,unbelievable,1,12,unbelievable
12336,collectively,1,12,collectively
12403,announcements,1,13,announcements
12473,millionpound,1,12,million pound
12478,lackadaisical,1,13,lackadaisical
12503,legitimately,2,12,legitimately
12516,partinorganic,1,13,part inorganic
12534,terabytesize,1,12,terabyte size
12683,periodically,1,12,periodically
12851,misdirection,1,12,misdirection
12852,interconnect,2,12,interconnect
12857,principality,1,12,principality
12913,quickgrowing,1,12,quick growing
12915,fonetography,2,12,f one to graph y
12920,surroundsound,1,13,surround sound
13009,overconfident,1,13,overconfident
13015,overreliance,1,12,over reliance
13090,surreptitiously,2,15,surreptitiously
13095,gueststarred,1,12,guest starred
13098,disaffection,1,12,disaffection
13116,fictionalise,1,12,fictional is e
13117,roguedialling,2,13,rogue dialling
13154,transparently,1,13,transparently
13162,licenceexempt,1,13,licence exempt
13176,reconstructed,2,13,reconstructed
13218,handanimated,1,12,hand animated
13268,stratocaster,2,12,stratocaster
13278,welfaretowork,1,13,welfare to work
13311,multitakings,2,12,multi takings
13312,pararallying,2,12,para rallying
13318,adaptibility,1,12,adapt i bil it y
13323,crosslicense,1,12,cross license
13333,environments,1,12,environments
13340,buttnumbathon,1,13,butt numbat hon
13362,motherboards,2,12,motherboards
13384,sportsleisure,1,13,sports leisure
13470,deliberation,1,12,deliberation
13471,suspiciously,2,12,suspiciously
13484,comprehensively,2,15,comprehensively
13503,fundamentals,1,12,fundamentals
13522,vaidyanathan,2,12,v aid yana than
13524,costeffective,2,13,cost effective
13558,dopingrelated,1,13,doping related
13635,memberstates,1,12,member states
13637,extravaganza,1,12,extravaganza
13672,immaculately,1,12,immaculately
13679,benchmarking,1,12,benchmarking
13689,bewilderment,1,12,bewilderment
13694,eighthseeded,2,12,eighth seeded
13726,energystarved,1,13,energy starved
13743,aberdeenbased,1,13,aberdeen based
13760,jacksonstyle,1,12,jackson style
13855,displacement,1,12,displacement
13871,tripledecker,1,12,triple decker
13925,constellation,1,13,constellation
13952,worldleading,2,12,world leading
13961,herefordshire,1,13,herefordshire
13970,receptionist,1,12,receptionist
13993,workingclass,1,12,working class
14014,oversubscribed,2,14,over subscribed
14060,incapacitated,1,13,incapacitated
14072,pointtopoint,1,12,point to point
14077,bonhamcarter,1,12,bonham carter
14082,indescribable,1,13,indescribable
14087,monthtomonth,1,12,month to month
14093,renationalise,2,13,re national is e
14109,userfriendly,2,12,user friendly
14129,palookaville,2,12,pa look a ville
14135,classification,2,14,classification
14211,nonpermanent,1,12,non permanent
14230,higherreturn,1,12,higher return
14236,renfrewshire,1,12,renfrewshire
14249,purposefully,1,12,purposefully
14252,alternatively,1,13,alternatively
14318,multibillion,2,12,multi billion
14336,precautionary,1,13,precautionary
14378,jamaicanstyle,1,13,jamaican style
14406,cannontoting,1,12,cannon toting
14428,strategically,2,13,strategically
14439,purification,1,12,purification
14466,authoritative,1,13,authoritative
14474,additionally,1,12,additionally
14484,threeminutes,1,12,three minutes
14505,advertiserbased,2,15,advertiser based
14574,allenveloping,1,13,all enveloping
14580,peacekeeping,1,12,peacekeeping
14606,palestinians,1,12,palestinians
14614,unsustainable,2,13,unsustainable
14630,anticoagulant,1,13,anticoagulant
14633,battlegrounds,1,13,battlegrounds
14643,reinvigorate,1,12,reinvigorate
14645,exgirlfriend,2,12,ex girlfriend
14661,chancayhuaral,2,13,chan cay hu aral
14677,glenmorangie,1,12,glen moran gie
14684,scandinavian,2,12,scandinavian
14706,stollenmayer,1,12,stollen mayer
14712,doubleolympic,1,13,double olympic
14785,ryanairboeing,1,13,ryanair boeing
14805,glenurquhart,1,12,glen ur qu hart
14846,interference,1,12,interference
14849,doorstepping,1,12,door stepping
14853,cinematographer,2,15,cinematographer
14857,conglomerate,1,12,conglomerate
14863,wellpolished,1,12,well polished
14882,recognisable,1,12,recognisable
14888,panagopoulos,1,12,pan ago poul os
14893,majorityowned,1,13,majority owned
14897,misjudgement,2,12,misjudgement
14909,inauguration,2,12,inauguration
14919,welldesigned,1,12,well designed
14927,underfunding,1,12,under funding
14931,reformminded,1,12,reform minded
14949,chairmanship,2,12,chairmanship
14962,disinterested,1,13,disinterested
14980,bellahouston,1,12,bella houston
14999,angloswedish,1,12,anglo swedish
15022,muzaffarabad,1,12,muzaffarabad
15042,concurrently,1,12,concurrently
15045,childishness,1,12,childishness
15077,renegotiation,2,13,renegotiation
15113,fileswappers,1,12,file swap per s
15123,counterbalance,2,14,counterbalance
15130,schoolfriends,1,13,school friends
15141,carolinabased,1,13,carolina based
15186,allimportant,1,12,all important
15210,julyseptember,1,13,july september
15228,swindonnotts,1,12,swindon notts
15250,inflammatory,1,12,inflammatory
15264,unaccountable,1,13,unaccountable
15273,prechristmas,2,12,pre christmas
15308,thoroughness,2,12,thoroughness
15401,fifthlargest,1,12,fifth largest
15412,fayetteville,1,12,fayetteville
15420,mouldbreaking,1,13,mould breaking
15422,khordokovsky,1,12,khor do kov sky
15425,futurologist,2,12,fu t urologist
15440,confederation,2,13,confederation
15501,kiknavelidze,1,12,ki knave lid ze
15543,unidentified,2,12,unidentified
15603,editorinchief,1,13,editor in chief
15624,wholehearted,1,12,wholehearted
15628,progressively,1,13,progressively
15633,tuberculosis,2,12,tuberculosis
15635,notification,1,12,notification
15642,thunderbirds,1,12,thunderbirds
15646,soberlysuited,1,13,soberly suited
15649,consumercreated,2,15,consumer created
15653,postconflict,1,12,post conflict
15656,cannabisbased,1,13,cannabis based
15665,familyfriendly,2,14,family friendly
15666,playstations,1,12,playstation s
15681,immeasurably,1,12,immeasurably
15701,spokespeople,1,12,spokespeople
15732,overlyzealous,2,13,overly zealous
15752,moneyearning,1,12,money earning
15763,stereophonics,1,13,stereophonic s
15787,virusfighting,2,13,virus fighting
15844,cosmopolitan,1,12,cosmopolitan
15863,unmistakable,2,12,unmistakable
15871,comparatively,2,13,comparatively
15874,invasiveness,1,12,invasive ness
15888,sweetnatured,1,12,sweet natured
15922,semiconductor,1,13,semiconductor
15983,energetically,1,13,energetically
15989,screenfilling,1,13,screen filling
16000,antibacterial,1,13,antibacterial
16002,bibliography,1,12,bibliography
16004,interrupting,1,12,interrupting
16018,restructuren,1,12,restructure n
16041,crossplatform,1,13,cross platform
16049,shareholding,1,12,shareholding
16092,impressionist,1,13,impressionist
16107,exploitation,2,12,exploitation
16114,characterises,1,13,characterises
16116,exponentially,1,13,exponentially
16151,unregistered,1,12,unregistered
16167,threequarter,1,12,three quarter
16170,sophistication,2,14,sophistication
16222,showbusiness,2,12,show business
16270,musicalcomedy,2,13,musical comedy
16295,meandzoegate,1,12,me and zoe gate
16314,coincidental,2,12,coincidental
16348,remotecontrolled,2,16,remote controlled
16363,psychologist,1,12,psychologist
16371,enthusiastic,2,12,enthusiastic
16385,respectableh,1,12,respectable h
16387,interoperable,2,13,interoperable
16447,overcrowding,1,12,overcrowding
16496,multilingual,2,12,multilingual
16499,extraordinarily,2,15,extraordinarily
16518,fuelinjection,2,13,fuel injection
16526,seasonallyadjusted,2,18,seasonally adjusted
16528,overemphasise,1,13,over emphasise
16545,antiblogging,1,12,anti blogging
16579,disorientate,1,12,disorient ate
16611,attributable,1,12,attributable
16637,timeshifting,1,12,time shifting
16644,counterparts,1,12,counterparts
16682,dispassionate,1,13,dispassionate
16723,newportgwent,1,12,newport gwent
16728,repossession,2,12,repossession
16755,enterprising,2,12,enterprising
16783,surgutneftegas,2,14,sur gut ne ft egas
16787,soulsearching,1,13,soul searching
16808,hypertension,1,12,hypertension
16810,jeanfrancois,2,12,jean francois
16877,electrically,1,12,electrically
16884,unstructured,1,12,unstructured
16889,acknowledged,1,12,acknowledged
16893,exportdriven,2,12,export driven
16894,rugbytackled,1,12,rugby tackled
16904,fossilhunting,1,13,fossil hunting
16934,recreational,2,12,recreational
16949,peradventure,1,12,per adventure
16956,moneyspinner,1,12,money spinner
16976,televentures,1,12,tele ventures
17002,doubledeckers,1,13,double decker s
17006,routeraccess,1,12,router access
17095,inexperience,1,12,in experience
17116,invitational,1,12,invitational
17128,traditionalm,1,12,traditional m
17133,valueformoney,1,13,value for money
17225,unencumbered,1,12,un encumbered
17229,cambridgebased,2,14,cambridge based
17232,preclearance,1,12,pre clearance
17244,acrobatically,1,13,acrobatic ally
17304,bedfordshire,1,12,bedfordshire
17307,environmentalist,2,16,environmentalist
17320,mediterranean,1,13,mediterranean
17335,drumthrowing,1,12,drum throwing
17340,quarterpoint,1,12,quarter point
17345,halobungieorg,1,13,halo bungie org
17346,disillusioned,1,13,disillusioned
