articleid,word,count,word_len,new_word
1858,psychological,9,13,psychological
1862,unprecedented,6,13,unprecedented
1863,embarrassment,2,13,embarrassment
1889,participation,9,13,participation
1892,irregularity,9,12,irregularity
1897,invitational,1,12,invitational
1906,counterparts,1,12,counterparts
1911,illegitimate,7,12,illegitimate
1920,legitimately,2,12,legitimately
1926,ukcontrolled,1,12,uk controlled
1933,multitalented,2,13,multi talented
1941,interamerican,2,13,inter american
1942,counterbalance,2,14,counterbalance
2011,sophistication,2,14,sophistication
2013,chinawatcher,1,12,china watcher
2033,dangerousthe,1,12,dangerous the
2049,irrespective,3,12,irrespective
2104,timespecific,1,12,time specific
2135,videoondemand,13,13,video on demand
2152,administrator,12,13,administrator
2174,cosmopolitan,1,12,cosmopolitan
2181,displacement,1,12,displacement
2185,functionality,6,13,functionality
2191,multibillion,2,12,multi billion
2194,disorientate,1,12,disorient ate
2216,whistleblower,1,13,whistle blower
2222,intelligence,25,12,intelligence
2228,highlighting,1,12,highlighting
2238,mismanagement,1,13,mismanagement
2252,instantaneous,1,13,instantaneous
2259,pharmaceutical,11,14,pharmaceutical
2277,housebuilder,1,12,house builder
2281,secondlargest,8,13,second largest
2311,collaboration,8,13,collaboration
2360,streetporter,3,12,street porter
2364,fonetography,2,12,fonetography
2388,reverberation,1,13,reverberation
2401,kiknavelidze,1,12,kiknavelidze
2412,bromesberrow,1,12,bromesberrow
2417,welshspeaking,1,13,welsh speaking
2436,impersonator,1,12,impersonator
2443,thanksgiving,2,12,thanksgiving
2452,assassination,3,13,assassination
2474,interactivity,4,13,interactivity
2510,mortgagestyle,1,13,mortgage style
2512,simultaneously,10,14,simultaneously
2556,understanding,5,13,understanding
2560,publiccompany,1,13,public company
2589,ryanairboeing,1,13,ryanair boeing
2595,regeneration,1,12,regeneration
2596,courageously,2,12,courageously
2604,normalengined,1,13,normal engined
2617,questionnaire,3,13,questionnaire
2655,surreptitiously,2,15,surreptitiously
2656,worldleading,2,12,world leading
2661,harmonisation,1,13,harmon is ation
2673,pornographer,1,12,pornographer
2679,ratification,2,12,ratification
2683,antiviolence,4,12,anti violence
2702,allaustralian,3,13,all australian
2716,conferencesm,1,12,conferences m
2719,largerthanexpected,2,18,larger than expected
2733,antiterrorism,5,13,anti terrorism
2753,significantly,16,13,significantly
2760,introduction,15,12,introduction
2771,consolidation,12,13,consolidation
2820,lewisfrancis,15,12,lewis francis
2827,industrialise,5,13,industrialise
2830,underproduced,1,13,under produced
2864,surprisingly,6,12,surprisingly
2869,valueformoney,1,13,value for money
2873,verbalicious,1,12,verbalicious
2875,novemberearly,1,13,november early
2917,thyssenkrupp,2,12,thyssenkrupp
2930,affordability,1,13,afford ability
2931,mendaciously,1,12,mendaciously
2962,billiondollar,5,13,billion dollar
3004,incompatible,5,12,incompatible
3011,reimbursement,1,13,reimbursement
3086,angloswedish,1,12,anglo swedish
3088,websidestory,4,12,web sidestory
3100,dispassionate,1,13,dispassionate
3140,advertisement,3,13,advertisement
3160,anticorruption,3,14,anti corruption
3176,planningshare,1,13,planning share
3183,conversation,18,12,conversation
3190,interrogation,1,13,interrogation
3208,supervolcano,4,12,supervolcano
3269,greensleeves,2,12,greensleeves
3276,coincidental,2,12,coincidental
3301,recapitalised,1,13,re capitalised
3327,crossexamined,2,13,cross examined
3340,pararallying,2,12,para rallying
3342,announcements,1,13,announcements
3352,rehabilitate,2,12,rehabilitate
3357,incapacitate,1,12,incapacitate
3401,newlycrowned,1,12,newly crowned
3412,artificially,3,12,artificially
3414,angloamerican,3,13,anglo american
3447,architecture,7,12,architecture
3452,unremittingly,6,13,unremittingly
3490,newsgamingcom,1,13,newsgamingcom
3493,ticketholder,1,12,ticket holder
3504,timehonoured,2,12,time honoured
3511,thirdgeneration,3,15,third generation
3531,purposefully,1,12,purposefully
3537,transgression,1,13,transgression
3541,noncompetitive,2,14,noncompetitive
3546,partinorganic,1,13,part inorganic
3573,reproductive,1,12,reproductive
3588,searchengine,1,12,search engine
3590,decisiveness,1,12,decisiveness
3594,argumentative,1,13,argumentative
3600,antiaircraft,1,12,antiaircraft
3603,authoritative,1,13,authoritative
3609,pianopounder,1,12,piano pounder
3614,allimportant,1,12,all important
3620,nonperforming,1,13,non performing
3621,principality,1,12,principality
3633,instantaccess,1,13,instant access
3641,sindelfingen,1,12,s in delf in gen
3673,broadcasting,9,12,broadcasting
3683,underdevelop,1,12,under develop
3722,insensitivity,1,13,insensitivity
3736,availability,4,12,availability
3766,courtimposed,1,12,court imposed
3795,inconclusive,1,12,inconclusive
3799,liberalisation,3,14,liberalisation
3801,seasonallyadjusted,2,18,seasonally adjusted
3834,christchurch,1,12,christchurch
3854,incapacitated,1,13,incapacitated
3865,astonishingly,2,13,astonishingly
3873,lowerranking,1,12,lower ranking
3878,misconception,3,13,misconception
3893,indescribable,1,13,indescribable
3919,championship,97,12,championship
3973,drumthrowing,1,12,drum throwing
4000,gadgetlovers,1,12,gadget lovers
4014,wellconceived,1,13,well conceived
4019,higherreturn,1,12,higher return
4042,interception,1,12,interception
4054,unsuccessfully,5,14,unsuccessfully
4075,postgraduate,1,12,postgraduate
4077,salsamerengue,1,13,salsa merengue
4078,unbelievable,1,12,unbelievable
4111,intermediary,2,12,intermediary
4115,overconfident,1,13,overconfident
4131,sophisticated,14,13,sophisticated
4144,homeshopping,1,12,home shopping
4162,ultrawideband,1,13,ultra wide band
4213,supernatural,4,12,supernatural
4259,policyholder,3,12,policyholder
4268,inconvenience,3,13,inconvenience
4289,unsatisfying,1,12,unsatisfying
4322,goodpractice,1,12,good practice
4338,harinordoquy,6,12,har in or do quy
4340,civilisation,1,12,civilisation
4346,inconsistent,3,12,inconsistent
4355,enlargedtate,2,12,enlarged tate
4363,surroundings,3,12,surroundings
4367,smoothtalking,1,13,smooth talking
4396,establishment,3,13,establishment
4400,collaborative,1,13,collaborative
4414,nevertheless,9,12,nevertheless
4421,stranglehold,3,12,stranglehold
4428,professional,36,12,professional
4437,nanotechnology,2,14,nanotechnology
4470,efficiencies,1,12,efficiencies
4471,fileswapping,2,12,file swapping
4509,welfaretowork,1,13,welfare to work
4515,moneychangers,1,13,money changers
4552,mockauthentic,1,13,mock authentic
4569,deliberation,1,12,deliberation
4595,longdistance,7,12,long distance
4601,retrospective,2,13,retrospective
4605,soberlysuited,1,13,soberly suited
4636,predominantly,4,13,predominantly
4638,coordination,3,12,coordination
4650,mediterranean,1,13,mediterranean
4691,fiveyeardeal,1,12,five year deal
4697,familyfriendly,2,14,family friendly
4710,performances,1,12,performances
4725,selfcontained,2,13,self contained
4731,jeanfrancois,2,12,jean francois
4733,fainthearted,1,12,fainthearted
4744,preparedness,1,12,preparedness
4745,personalised,1,12,personalised
4821,rehabilitation,6,14,rehabilitation
4835,writerdirector,3,14,writer director
4837,confectionery,2,13,confectionery
4882,reformminded,1,12,reform minded
4885,unencumbered,1,12,un encumbered
4915,conventional,9,12,conventional
4937,pricewaterhousecoopers,3,22,price water house coopers 
4950,ridiculously,1,12,ridiculously
4953,tunisianborn,1,12,tunisian born
4958,jamaicanstyle,1,13,jamaican style
4970,ubiquitously,2,12,ubiquitously
4971,dramatisation,1,13,drama tis ation
5011,fourthquarter,3,13,fourth quarter
5021,khodorkovsky,32,12,khodorkovsky
5028,strengthened,1,12,strengthened
5035,unconvincing,1,12,unconvincing
5058,evidencebased,1,13,evidence based
5081,decentralised,1,13,de centralised
5085,fuelinjection,2,13,fuel injection
5138,preelectronic,2,13,pre electronic
5171,copyprotection,2,14,copy protection
5193,remotecontrolled,2,16,remote controlled
5197,serialisation,1,13,serialisation
5252,parliamentary,46,13,parliamentary
5254,manipulation,3,12,manipulation
5255,wolstenholme,1,12,wolstenholme
5262,disappearance,9,13,disappearance
5282,prodemocracy,1,12,pro democracy
5317,exponentially,1,13,exponentially
5348,subcontractor,2,13,subcontractor
5353,cannontoting,1,12,cannon toting
5378,homelessness,1,12,homelessness
5381,discrimination,12,14,discrimination
5395,jointventure,1,12,joint venture
5396,interconnect,2,12,interconnect
5402,millionpound,1,12,million pound
5430,transportation,6,14,transportation
5448,injuryravaged,1,13,injury ravaged
5457,experimentation,2,15,experimentation
5458,technological,12,13,technological
5469,bureaucratic,4,12,bureaucratic
5500,psychologist,1,12,psychologist
5505,satisfaction,6,12,satisfaction
5508,phonetapping,1,12,phone tapping
5524,unsuccessful,6,12,unsuccessful
5526,foreignowned,2,12,foreign owned
5532,tsunamirelated,2,14,tsunami related
5535,computerimplemented,3,19,computer implemented
5560,strategically,2,13,strategically
5577,ideologically,1,13,ideologically
5607,demonstrated,1,12,demonstrated
5629,problematical,1,13,problematical
5634,announcement,61,12,announcement
5647,latinohiphopradiocom,12,20,latino hiphop radio com
5680,secondbiggest,4,13,second biggest
5682,reintroduced,1,12,reintroduced
5697,paidforpassalong,2,16,paid for pass along
5711,racketeering,1,12,racketeering
5719,anticipation,5,12,anticipation
5730,proportionate,4,13,proportionate
5734,occasionally,7,12,occasionally
5743,liverpudlians,1,13,liverpudlians
5779,investigation,71,13,investigation
5805,transitional,2,12,transitional
5820,michelangelo,1,12,michelangelo
5839,registration,9,12,registration
5867,fuerteventura,1,13,fuerteventura
5871,electroclash,2,12,electro clash
5926,bibliography,1,12,bibliography
5945,fictionalise,1,12,fictionalise
5965,disturbingly,1,12,disturbingly
5972,hollinghurst,2,12,holl ing hurst
5995,jeanphilippe,3,12,jean philippe
5999,astonishment,1,12,astonishment
6000,overwhelmingly,4,14,overwhelmingly
6002,unremarkable,1,12,unremarkable
6029,instrumental,3,12,instrumental
6030,preinstalled,1,12,pre installed
6032,reconstruction,26,14,reconstruction
6033,multitakings,2,12,multi takings
6067,democratisation,4,15,democrat is ation
6074,stagemanaged,2,12,stage managed
6091,contradictory,5,13,contradictory
6098,unaccountable,1,13,unaccountable
6100,conclusively,1,12,conclusively
6117,berthinussen,1,12,berthinussen
6119,dramatically,7,12,dramatically
6127,indiscipline,1,12,indiscipline
6156,manufactured,2,12,manufactured
6169,neighbourhood,4,13,neighbourhood
6188,antiretroviral,4,14,antiretroviral
6198,unimaginable,2,12,unimaginable
6220,soontoretire,1,12,soon to retire
6247,napsterization,2,14,napsterization
6251,conveniently,1,12,conveniently
6307,proportional,1,12,proportional
6321,recordbreaking,6,14,record breaking
6337,declarations,1,12,declarations
6354,charttoppers,2,12,chart toppers
6357,merriamwebster,5,14,merriam webster
6395,singersongwriter,2,16,singer songwriter
6413,franciscobased,3,14,francisco based
6414,differentiate,4,13,differentiate
6419,overcapacity,2,12,over capacity
6421,frustratingly,1,13,frustratingly
6440,behindclosed,1,12,behind closed
6463,sportsleisure,1,13,sports leisure
6470,photographer,9,12,photographer
6480,sheffieldborn,1,13,sheffield born
6488,unassailable,2,12,unassailable
6497,memberstates,1,12,member states
6499,encroachment,1,12,encroachment
6500,quadriplegic,1,12,quadriplegic
6514,cleanburning,1,12,clean burning
6524,administration,34,14,administration
6551,entertainment,89,13,entertainment
6552,protagonists,1,12,protagonists
6555,commissioner,41,12,commissioner
6556,coincidentally,2,14,coincidentally
6579,drinkdriving,3,12,drink driving
6582,superathletic,1,13,super athletic
6606,inauguration,2,12,inauguration
6623,departmental,1,12,departmental
6636,grammywinning,1,13,grammy winning
6638,transatlantic,4,13,transatlantic
6647,heninhardenne,13,13,heninhardenne
6648,subsequently,6,12,subsequently
6665,intellectual,7,12,intellectual
6672,prostitution,2,12,prostitution
6689,unseasonably,2,12,unseasonably
6706,fouryearolds,1,12,four year olds
6711,thirdbiggest,3,12,third biggest
6748,infringement,13,12,infringement
6783,russianowned,1,12,russian owned
6790,underfunding,1,12,under funding
6798,traditionally,15,13,traditionally
6808,ekhayelitsha,2,12,ekhayelitsha
6831,supercomputing,2,14,super computing
6833,eccentricity,1,12,eccentricity
6836,internetbased,2,13,internet based
6851,britishbased,1,12,british based
6856,licenceexempt,1,13,licence exempt
6858,revolutionary,3,13,revolutionary
6914,postchristmas,2,13,post christmas
6916,entertaining,2,12,entertaining
6917,bookingearold,1,13,book in gear old
6931,professionalism,4,15,professionalism
6932,conspicuously,1,13,conspicuously
6945,muchimproved,1,12,much improved
6949,decentralise,1,12,decentralise
6953,fourthminute,1,12,fourth minute
6983,antiimmigration,3,15,anti immigration
6995,visakhapatnam,1,13,visa khapa tnam
7001,nearidentical,1,13,near identical
7017,chennaibased,1,12,chennai based
7028,highlyradioactive,2,17,highly radioactive
7039,qualification,10,13,qualification
7067,hanningfield,1,12,hanning field
7104,microsystems,2,12,microsystems
7159,higherpriced,1,12,higher priced
7165,internationalised,4,17,internationalised
7166,paternalistic,1,13,paternalistic
7180,capitulation,1,12,capitulation
7193,baghdadbased,1,12,baghdad based
7197,robotiquette,3,12,robotiquette
7198,antiglobalisation,2,17,anti globalisation
7205,fraudulently,3,12,fraudulently
7211,mycokemusiccom,2,14,mycokemusiccom
7265,attributable,1,12,attributable
7266,collaborator,2,12,collaborator
7268,palookaville,2,12,palookaville
7272,consciousness,2,13,consciousness
7292,nationalisation,2,15,nationalisation
7294,predetermine,2,12,predetermine
7296,massachusetts,5,13,massachusetts
7305,schoolfriends,1,13,school friends
7340,workingclass,1,12,working class
7385,macroeconomic,2,13,macroeconomic
7391,carolinabased,1,13,carolina based
7416,selfcritical,1,12,self critical
7419,extravaganza,1,12,extravaganza
7424,disappointment,18,14,disappointment
7443,decisionmaking,3,14,decision making
7450,confederation,2,13,confederation
7479,ritesofpassage,2,14,rites of passage
7491,irresponsible,10,13,irresponsible
7541,operationally,1,13,operationally
7563,hertfordshire,4,13,hertfordshire
7578,embarrassing,1,12,embarrassing
7589,recordholders,1,13,record holders
7609,backtracking,1,12,backtracking
7641,posttakeover,1,12,post takeover
7655,invasiveness,1,12,invasive ness
7657,secondfastest,1,13,second fastest
7664,dopingrelated,1,13,doping related
7674,meanstesting,2,12,means testing
7678,africanamerican,3,15,african american
7686,shareholding,1,12,shareholding
7692,reorganisation,2,14,reorganisation
7712,europeafrica,1,12,europe africa
7734,substitution,1,12,substitution
7736,interpretation,6,14,interpretation
7745,unaccompanied,4,13,unaccompanied
7751,humanitarian,5,12,humanitarian
7766,disaffection,1,12,disaffection
7835,quickestever,1,12,quickest ever
7851,confrontational,2,15,confrontational
7865,recordholder,1,12,record holder
7889,complimentary,1,13,complimentary
7919,correctional,2,12,correctional
7920,constitution,38,12,constitution
7921,indefinitely,8,12,indefinitely
7947,confirmation,7,12,confirmation
7960,misrepresentation,5,17,misrepresentation
7992,fragmentation,2,13,fragmentation
7993,cryptography,1,12,cryptography
8008,unscrupulous,2,12,unscrupulous
8014,peradventure,1,12,per adventure
8041,commonwealth,5,12,commonwealth
8085,inventiveness,1,13,inventiveness
8169,thirdquarter,3,12,third quarter
8173,oversubscribed,2,14,over subscribed
8186,illiberalism,1,12,illiberalism
8188,proportionately,3,15,proportionately
8191,threeandahalf,1,13,three and a half
8265,computational,1,13,computational
8270,multinationals,3,14,multinationals
8289,schwarzenegger,2,14,schwarzenegger
8321,unaccountably,1,13,unaccountably
8338,anheuserbusch,1,13,anheuser busch
8354,developmental,1,13,developmental
8371,subscription,23,12,subscription
8386,halobungieorg,1,13,halo bungie org
8407,incompatibility,2,15,incompatibility
8413,energystarved,1,13,energy starved
8414,connectedness,1,13,connected ness
8421,antieuropeans,1,13,anti europeans
8427,oppositional,1,12,oppositional
8428,demonstrates,1,12,demonstrates
8432,contribution,38,12,contribution
8463,breathtaking,1,12,breathtaking
8477,repercussion,1,12,repercussion
8496,wellinsulated,1,13,well insulated
8514,jamesinspired,1,13,james inspired
8588,wellpublicised,2,14,well publicised
8613,assassinated,1,12,assassinated
8625,aesthetically,1,13,aesthetically
8636,everexpanding,1,13,ever expanding
8651,technologies,3,12,technologies
8709,libertadores,1,12,libertadores
8794,beerflavoured,2,13,beer flavoured
8808,newportbased,2,12,newport based
8809,nonspecialist,1,13,non specialist
8813,propostition,1,12,propostition
8819,proeuropeans,1,12,pro europeans
8829,threequarter,1,12,three quarter
8845,rubberstamps,1,12,rubber stamps
8846,insignificant,2,13,insignificant
8870,lostprophets,1,12,lostprophets
8884,heavilytipped,2,13,heavily tipped
8885,passtheparcel,2,13,pass the parcel
8915,kickstarting,1,12,kick starting
8920,spectacularly,2,13,spectacularly
8930,governmentcommissioned,2,22,government commissioned
8933,shadowcrewcom,1,13,shadow crew com
8937,winterbottom,2,12,winter bottom
8946,baskinrobbins,1,13,baskin robbins
8962,untrammelled,1,12,untrammelled
8975,unpredictable,7,13,unpredictable
9049,looseforward,1,12,loose forward
9051,precautionary,1,13,precautionary
9056,antiamerican,2,12,anti american
9057,conciliation,5,12,conciliation
9063,dumfriesshire,1,13,dumfriesshire
9072,inflationary,7,12,inflationary
9075,surreptitious,5,13,surreptitious
9088,irritatingly,1,12,irritatingly
9119,convincingly,1,12,convincingly
9123,colombianborn,1,13,colombian born
9158,receptionist,1,12,receptionist
9162,multilingual,2,12,multilingual
9168,extortionist,1,12,extortionist
9171,disinterested,1,13,disinterested
9189,continuation,2,12,continuation
9205,preoccupation,1,13,preoccupation
9216,accomplished,3,12,accomplished
9226,industrialised,6,14,industrialised
9228,yuganskneftegas,19,15,yuganskneftegas
9240,gebrselassie,4,12,gebr selassie
9243,overlyzealous,2,13,overly zealous
9293,administrative,4,14,administrative
9300,bellahouston,1,12,bella houston
9304,virusfighting,2,13,virus fighting
9324,selfassurance,1,13,self assurance
9332,bloodandsinew,1,13,blood and sinew
9340,assertiveness,1,13,assertiveness
9341,comprehensively,2,15,comprehensively
9380,vicechairman,3,12,vice chairman
9408,fileswappers,1,12,file swap per s
9448,multichannel,4,12,multichannel
9471,pencepershare,1,13,pence per share
9488,castrogiovanni,5,14,castrogiovanni
9541,cardnotpresent,4,14,card not present
9551,accompaniment,1,13,accompaniment
9555,authentication,2,14,authentication
9573,thoroughness,2,12,thoroughness
9588,behindthescenes,2,15,behind the scenes
9603,carderplanet,2,12,carder planet
9606,precondition,2,12,precondition
9631,straightsets,1,12,straight sets
9639,albanianborn,1,12,albanian born
9652,playstations,1,12,playstations
9678,certification,1,13,certification
9685,inaccessible,3,12,inaccessible
9709,conservative,143,12,conservative
9714,productivity,6,12,productivity
9739,gangsterstyle,1,13,gangster style
9753,ramification,2,12,ramification
9810,reevaluation,1,12,reevaluation
9823,postelection,3,12,post election
9852,responsibility,54,14,responsibility
9862,reconditioned,1,13,reconditioned
9865,floridabased,2,12,florida based
9882,hindilanguage,1,13,hindi language
9902,semifictional,1,13,semi fictional
9918,groundbreaking,7,14,groundbreaking
9937,preventative,2,12,preventative
9946,multispeaker,1,12,multi speaker
9948,glasgowbased,1,12,glasgow based
9949,innovationled,1,13,innovation led
9960,sectarianism,3,12,sectarianism
9966,rebandingwill,1,13,re banding will
9987,selffinanced,1,12,self financed
9988,continuously,2,12,continuously
10003,cambridgebased,2,14,cambridge based
10014,swindonnotts,1,12,swindon notts
10044,jakartabased,1,12,jakarta based
10099,aynsleygreen,4,12,aynsleygreen
10136,vaidyanathan,2,12,vaidyanathan
10148,asbestosrelated,2,15,asbestos related
10161,multimillion,3,12,multi million
10188,controversial,63,13,controversial
10189,renegotiation,2,13,renegotiation
10198,neighbouring,1,12,neighbouring
10213,statecontrolled,4,15,state controlled
10214,objectionable,3,13,objectionable
10227,wrightphillips,14,14,wright phillips
10257,oldfashioned,5,12,old fashioned
10263,crossplatform,1,13,cross platform
10307,asylumseeking,2,13,asylum seeking
10310,indispensable,1,13,indispensable
10367,acrobatically,1,13,acrobatic ally
10391,fastestgrowing,5,14,fastest growing
10399,underestimating,4,15,underestimating
10413,mathematical,3,12,mathematical
10466,nonrepayable,1,12,non repayable
10477,eighthseeded,2,12,eighth seeded
10485,decisionmaker,1,13,decision maker
10487,recommendation,7,14,recommendation
10515,illumination,1,12,illumination
10538,immaculately,1,12,immaculately
10542,counterstrike,1,13,counter strike
10562,demonstration,7,13,demonstration
10590,philharmonic,1,12,philharmonic
10643,presidential,18,12,presidential
10648,irreplaceable,1,13,irreplaceable
10689,peacekeeping,1,12,peacekeeping
10691,choreography,4,12,choreography
10699,presentation,5,12,presentation
10702,nonemergency,1,12,non emergency
10705,educationalist,2,14,educationalist
10721,nervewracking,3,13,nervewracking
10722,understaffed,1,12,understaffed
10725,construction,31,12,construction
10731,inefficiency,1,12,inefficiency
10741,uruguayanborn,1,13,uruguayan born
10745,reinitiation,1,12,reinitiation
10750,substantially,7,13,substantially
10752,injuryplagued,1,13,injury plagued
10760,chevrontexaco,2,13,chevron texaco
10770,impersonated,1,12,impersonated
10789,distributing,1,12,distributing
10805,intimidation,3,12,intimidation
10806,wonderstrike,1,12,wonder strike
10825,thirdlargest,3,12,third largest
10828,whiteshirted,1,12,white shirted
10839,redistribution,2,14,redistribution
10860,confiscatory,1,12,conf isca tory
10872,victimisation,1,13,victimisation
10877,profitability,9,13,profitability
10879,categorically,1,13,categorically
10885,enlargedember,1,13,enlarged ember
10901,patentability,3,13,patent ability
10908,stratocaster,2,12,stratocaster
10911,confidentiality,7,15,confidentiality
10913,accommodation,3,13,accommodation
10917,theirfamilies,1,13,their families
10925,casinorelated,1,13,casino related
10939,additionally,1,12,additionally
10978,visualisation,1,13,visualisation
11002,anticoagulant,1,13,anticoagulant
11004,djembadjemba,1,12,djembadjemba
11018,consequently,1,12,consequently
11043,halfmarathon,3,12,half marathon
11076,splitcapital,3,12,split capital
11078,unilaterally,1,12,unilaterally
11087,singaporelisted,2,15,singapore listed
11103,supercomputer,7,13,supercomputer
11128,highdefinition,50,14,high definition
11144,immeasurably,1,12,immeasurably
11161,crosscountry,7,12,crosscountry
11173,bedfordshire,1,12,bedfordshire
11182,crossselling,1,12,cross selling
11184,progovernment,1,13,pro government
11193,breastbaring,1,12,breast baring
11194,programmable,2,12,programmable
11199,turkmenistan,6,12,turkmenistan
11230,threemonthly,1,12,three monthly
11240,intermission,1,12,intermission
11254,representative,33,14,representative
11259,southeastern,1,12,southeastern
11272,preparations,1,12,preparations
11278,welleducated,1,12,well educated
11287,biblethumping,1,13,bible thumping
11292,atomstroieksport,2,16,atomstroiek sport
11308,islamaphobia,1,12,islam a phobia
11341,widereaching,1,12,wide reaching
11373,computerbased,4,13,computer based
11378,windowsbased,4,12,windows based
11423,disciplinary,17,12,disciplinary
11464,demonstrator,1,12,demonstrator
11479,realistically,5,13,realistically
11511,undemocratic,2,12,undemocratic
11517,konstantinos,1,12,konstantino s
11518,identification,7,14,identification
11546,disheartened,1,12,disheartened
11577,spanishlanguage,7,15,spanish language
11598,contradiction,1,13,contradiction
11631,uncomfortable,4,13,uncomfortable
11636,appreciation,3,12,appreciation
11642,unacceptable,17,12,unacceptable
11671,centreforward,1,13,centre forward
11673,monthtomonth,1,12,month to month
11698,deliberately,13,12,deliberately
11726,industrialist,2,13,industrialist
11730,bureaucratism,1,13,bureaucratism
11742,satyanarayana,1,13,satyanarayana
11759,pornographic,6,12,pornographic
11794,progressively,1,13,progressively
11802,vicedirector,1,12,vice director
11811,selfdestruct,1,12,self destruct
11815,multipurpose,1,12,multipurpose
11842,democratgreen,1,13,democrat green
11894,battlegrounds,1,13,battlegrounds
11897,respectableh,1,12,respectable h
11937,rainaffected,1,12,rain affected
11956,journalistic,2,12,journalistic
11972,recreational,2,12,recreational
11988,practicality,1,12,practicality
11998,matchwinning,4,12,match winning
12007,unreasonable,4,12,unreasonable
12078,extraordinary,14,13,extraordinary
12079,welldocumented,2,14,well documented
12093,roguedialling,2,13,rogue dialling
12101,meandzoegate,1,12,meandzoegate
12115,confrontation,6,13,confrontation
12119,glenmorangie,1,12,glenmorangie
12147,spokespeople,1,12,spokespeople
12168,bandsartists,1,12,bands artists
12196,comprehensive,6,13,comprehensive
12201,unreturnable,1,12,unreturnable
12204,chauvinistic,1,12,chauvinistic
12221,nextgeneration,2,14,next generation
12230,bonhamcarter,1,12,bonham carter
12235,dispensation,1,12,dispensation
12236,transparency,8,12,transparency
12261,independence,26,12,independence
12275,stakeholders,1,12,stakeholders
12281,swashbuckling,1,13,swashbuckling
12292,protestation,2,12,protestation
12317,foreignbased,1,12,foreign based
12325,unfavourable,4,12,unfavourable
